streetname,streetcode
a-bhi,1
b-bddb,2
b-bdce,3
b-bdcg,4
c-fij,5
d-dif,6
e-bddi,7
e-bddc,8
e-bddf,9
e-bddh,10
f-bddh,11
g-h,12
g-e,13
h-bddd,14
h-bddh,15
i-bdfc,16
j-bdfc,17
ba-bdb,18
bb-bdb,19
bc-dge,20
bd-gbf,21
be-bbdj,22
bf-chi,23
bg-jja,24
bh-bgda,25
bh-da,26
bi-cabc,27
bj-ce,28
bj-bgda,29
ca-bcjh,30
cb-cgc,31
cb-cge,32
cc-fac,33
cc-ejh,34
cc-eji,35
cd-ca,36
cd-bgda,37
ce-bebb,38
ce-bgda,39
cf-ief,40
cg-ica,41
cg-cf,42
cg-ejg,43
ch-jib,44
ci-cgc,45
cj-bi,46
da-hbe,47
da-cj,48
db-hbd,49
dc-fhd,50
dd-bjje,51
dd-caae,52
de-ece,53
df-ecf,54
dg-bgca,55
dh-egi,56
di-dj,57
di-eb,58
dj-beda,59
ea-dh,60
eb-bcd,61
ec-dcb,62
ed-chc,63
ee-jag,64
ef-ff,65
eg-bgbg,66
eh-bhhh,67
ei-dhc,68
ei-bgbg,69
ej-ff,70
fa-fh,71
fb-fg,72
fc-bbjj,73
fd-jc,74
fe-eh,75
fe-ef,76
ff-biac,77
fg-fa,78
fg-fd,79
fh-fb,80
fh-bgbg,81
fi-bhhc,82
fi-bbgb,83
fj-bgcg,84
fj-cei,85
ga-dhb,86
ga-dhd,87
gb-bigc,88
gc-bfdg,89
gd-bhga,90
ge-bhfh,91
gf-bigi,92
gg-bhia,93
gh-bacj,94
gi-bfba,95
gj-bhid,96
gj-bacj,97
ha-gfc,98
hb-ceh,99
hc-bgcb,100
hd-jaf,101
he-bbed,102
hf-gji,103
hf-gjj,104
hg-bjfd,105
hh-bhih,106
hi-bfcj,107
hj-fjh,108
ia-dfd,109
ib-beah,110
ic-ijd,111
id-ici,112
id-ja,113
id-cadg,114
ie-bhjg,115
if-bfhj,116
ig-bhae,117
ig-ii,118
ih-ii,119
ii-bacg,120
ij-bhac,121
ij-if,122
ja-bhjg,123
jb-fc,124
jc-hae,125
jd-caac,126
je-gjf,127
jf-bjcj,128
jf-dda,129
jg-ji,130
jg-dda,131
jh-ifc,132
ji-dad,133
jj-bae,134
jj-baf,135
jj-bdfb,136
baa-chh,137
bab-bad,138
bac-fhg,139
bad-dbh,140
bad-baa,141
bad-bdfb,142
bae-fhg,143
baf-bbh,144
bag-hii,145
bag-baa,146
bag-bdfb,147
bag-bac,148
bah-bbh,149
bai-bbjh,150
baj-gid,151
bba-gcf,152
bbb-gaa,153
bbc-beba,154
bbd-bbg,155
bbe-bebg,156
bbf-beaj,157
bbg-bag,158
bbh-bbc,159
bbh-ccj,160
bbi-bcc,161
bbj-bgid,162
bca-beef,163
bca-bbie,164
bca-beeb,165
bcb-bidb,166
bcc-baba,167
bcc-babb,168
bcd-beci,169
bce-ea,170
bcf-bega,171
bcf-befg,172
bcg-bacf,173
bch-befi,174
bci-jha,175
bci-jhb,176
bcj-baad,177
bda-bbai,178
bda-bbab,179
bdb-jh,180
bdb-ji,181
bdc-dgi,182
bdd-dji,183
bde-bhg,184
bde-bhh,185
bde-bhc,186
bdf-bdh,187
bdg-hhe,188
bdg-bcbe,189
bdh-biad,190
bdi-bdg,191
bdj-jei,192
bea-bhj,193
beb-bbgb,194
bec-fib,195
bec-bhhd,196
bed-bbhe,197
bee-cjh,198
bef-bia,199
beg-bbhf,200
beh-bfgc,201
bei-jgi,202
bej-bdjc,203
bfa-eii,204
bfb-jgi,205
bfc-bbef,206
bfc-ehe,207
bfc-bbeg,208
bfc-ehg,209
bfd-cad,210
bfe-begd,211
bfe-begf,212
bff-bbaa,213
bff-bbad,214
bff-bbag,215
bff-bbah,216
bff-bbbb,217
bff-bbbc,218
bfg-beih,219
bfh-bejg,220
bfi-feg,221
bfj-fee,222
bga-bjdf,223
bgb-bjdg,224
bgb-bjdh,225
bgc-jda,226
bgd-hde,227
bgd-hdb,228
bge-bgc,229
bgf-caj,230
bgg-dbj,231
bgh-dca,232
bgi-cba,233
bgj-bhde,234
bha-bhia,235
bhb-bhd,236
bhc-bcfc,237
bhd-idh,238
bhd-idj,239
bhe-bhh,240
bhe-bde,241
bhf-bceh,242
bhf-bdid,243
bhf-bhd,244
bhg-hie,245
bhh-hie,246
bhi-hce,247
bhi-hcg,248
bhi-bdj,249
bhj-b,250
bia-bcfb,251
bia-bcej,252
bib-hcf,253
bib-beg,254
bib-beh,255
bic-ddg,256
bic-ffc,257
bid-bdbi,258
bie-big,259
bif-ecd,260
big-iaf,261
big-iac,262
big-iad,263
bih-bif,264
bii-biae,265
bij-efc,266
bja-hhh,267
bjb-efc,268
bjc-cci,269
bjd-bdcc,270
bjd-chg,271
bje-efb,272
bjf-bdbc,273
bjg-bbgc,274
bjh-bghh,275
bji-ieb,276
bjj-cai,277
caa-cci,278
cab-bdij,279
cac-bfc,280
cad-idi,281
cae-bdgg,282
cae-bfdh,283
caf-bdaf,284
cag-ee,285
cah-bji,286
cah-bgfd,287
cai-bfic,288
cai-bghb,289
