inter_in,inter_out,streetcode,L
8688,8570,1,3
8688,8687,2,7
8688,8689,3,9
804,692,4,2
804,803,5,4
804,805,6,4
6358,6359,7,5
6358,6430,8,2
6358,6286,9,3
5549,5621,10,10
5549,5550,11,2
5549,5548,12,1
5549,5477,13,9
332,438,14,4
332,331,15,6
332,333,16,4
6499,6500,17,2
6499,6427,18,3
6499,6498,19,7
6499,6619,20,7
8034,8035,21,1
8034,8033,22,6
8034,7962,23,3
8034,8106,24,6
6221,6220,25,8
6221,6222,26,5
6221,6293,27,5
6221,6107,28,5
9311,9385,29,10
9311,9310,30,4
9311,9237,31,3
9311,9312,32,9
5262,5261,33,2
5262,5384,34,10
5262,5263,35,3
5262,5188,36,2
3422,3348,37,5
3422,3496,38,6
3422,3423,39,5
3422,3421,40,6
9574,9646,41,5
9574,9488,42,6
9574,9575,43,7
5073,4999,44,6
5073,5147,45,7
5073,5074,46,8
5073,5072,47,4
4426,4352,48,2
4426,4540,49,4
4426,4425,50,9
4901,4805,51,7
4901,4900,52,4
4901,4902,53,7
1717,1635,54,3
1717,1716,55,8
1717,1718,56,1
1717,1791,57,7
1224,1223,58,7
1224,1225,59,2
1224,1110,60,9
1064,1065,61,5
1064,1146,62,3
1064,1063,63,7
1064,990,64,5
3842,3914,65,3
3842,3841,66,3
3842,3770,67,3
3842,3843,68,8
8949,9045,69,5
8949,8877,70,2
8949,8948,71,3
6620,6619,72,9
6620,6621,73,1
6620,6500,74,10
6949,7059,75,4
6949,6950,76,7
6949,6863,77,3
6949,6948,78,5
4798,4799,79,7
4798,4726,80,1
4798,4890,81,3
2534,2535,82,5
2534,2608,83,4
2534,2533,84,7
2534,2444,85,1
2617,2618,86,9
2617,2691,87,10
2617,2543,88,9
389,390,89,5
389,388,90,1
389,279,91,1
7759,7758,92,8
7759,7681,93,6
7759,7760,94,4
3141,3069,95,8
3141,3140,96,3
3141,3229,97,7
2319,2247,98,1
2319,2318,99,1
2319,2411,100,1
6535,6536,101,5
6535,6534,102,2
6535,6645,103,8
5839,5913,104,10
5839,5840,105,6
5839,5745,106,10
5839,5838,107,9
7615,7689,108,6
7615,7614,109,2
7615,7541,110,9
7615,7616,111,1
9819,9820,112,10
9819,9818,113,10
9819,9743,114,10
3827,3755,115,5
3827,3828,116,6
3827,3826,117,9
3827,3899,118,7
7072,7073,119,7
7072,6974,120,8
7072,7144,121,3
9953,9843,122,2
9953,9954,123,9
7174,7175,124,2
7174,7246,125,9
7174,7102,126,7
9529,9528,127,9
9529,9411,128,5
9529,9601,129,8
9529,9530,130,7
4789,4788,131,4
4789,4873,132,7
4789,4717,133,10
4789,4790,134,9
9260,9334,135,8
9260,9259,136,5
9260,9186,137,2
7027,7028,138,8
7027,7026,139,8
7027,7105,140,1
1112,1111,141,2
1112,1113,142,5
1112,1038,143,3
1112,1226,144,7
5222,5148,145,6
5222,5316,146,5
5222,5221,147,10
5222,5223,148,7
4999,5073,149,7
4999,4897,150,3
4999,5000,151,5
4999,4998,152,9
9001,9000,153,6
9001,8921,154,5
9001,9002,155,6
6804,6803,156,1
6804,6878,157,10
6804,6805,158,7
6804,6730,159,2
6843,6917,160,2
6843,6769,161,9
6843,6844,162,8
990,989,163,10
990,916,164,6
990,991,165,2
990,1064,166,2
6012,6086,167,8
6012,6011,168,3
6012,5938,169,5
6012,6013,170,9
2199,2127,171,5
2199,2271,172,9
2199,2198,173,2
9662,9663,174,1
9662,9661,175,5
9662,9590,176,6
9662,9734,177,10
7276,7204,178,8
7276,7364,179,10
7276,7277,180,4
9998,9999,181,7
9998,9997,182,10
9998,9916,183,1
9844,9843,184,3
9844,9845,185,4
9844,9954,186,2
6310,6382,187,4
6310,6238,188,9
6310,6311,189,5
7364,7363,190,1
7364,7276,191,2
7364,7365,192,7
7364,7474,193,9
2946,2947,194,2
2946,2856,195,10
2946,2945,196,10
2946,3018,197,5
4720,4721,198,4
4720,4792,199,1
4720,4648,200,6
4626,4625,201,1
4626,4698,202,4
4626,4552,203,2
4626,4627,204,4
9772,9868,205,10
9772,9773,206,3
9772,9700,207,10
4006,3934,208,4
4006,4122,209,2
4006,4007,210,6
7313,7314,211,7
7313,7312,212,1
7313,7425,213,8
7313,7241,214,10
935,934,215,5
935,861,216,9
935,1009,217,10
935,936,218,9
5175,5176,219,9
5175,5101,220,7
5175,5249,221,5
3489,3415,222,9
3489,3490,223,8
3489,3563,224,5
5277,5278,225,6
5277,5276,226,8
5277,5199,227,10
6072,6073,228,1
6072,6071,229,2
6072,5998,230,10
6072,6182,231,6
7753,7754,232,9
