inter_in,inter_out,streetcode,L
0,6,1,40
6,0,2,40
0,8,3,35
8,0,4,35
0,45,5,46
45,0,6,46
0,58,7,24
58,0,8,24
0,90,9,37
90,0,10,37
0,228,11,38
228,0,12,38
0,419,13,47
419,0,14,47
0,659,15,11
659,0,16,11
0,673,17,50
673,0,18,50
0,768,19,22
768,0,20,22
0,969,21,25
969,0,22,25
0,1182,23,41
1182,0,24,41
0,1567,25,24
1567,0,26,24
0,3048,27,20
3048,0,28,20
0,3080,29,26
3080,0,30,26
0,3830,31,45
3830,0,32,45
0,5478,33,14
5478,0,34,14
0,5849,35,49
5849,0,36,49
0,6018,37,43
6018,0,38,43
0,7343,39,24
7343,0,40,24
0,7776,41,7
7776,0,42,7
1,6,43,28
6,1,44,28
1,7,45,41
7,1,46,41
1,8,47,26
8,1,48,26
1,9,49,5
9,1,50,5
1,10,51,33
10,1,52,33
1,12,53,45
12,1,54,45
1,15,55,43
15,1,56,43
1,27,57,23
27,1,58,23
1,28,59,26
28,1,60,26
1,31,61,26
31,1,62,26
1,38,63,48
38,1,64,48
1,51,65,20
51,1,66,20
1,56,67,43
56,1,68,43
1,78,69,2
78,1,70,2
1,85,71,23
85,1,72,23
1,118,73,39
118,1,74,39
1,122,75,8
122,1,76,8
1,123,77,30
123,1,78,30
1,151,79,16
151,1,80,16
1,160,81,11
160,1,82,11
1,200,83,21
200,1,84,21
1,230,85,44
230,1,86,44
1,233,87,45
233,1,88,45
1,243,89,39
243,1,90,39
1,255,91,30
255,1,92,30
1,257,93,39
257,1,94,39
1,258,95,17
258,1,96,17
1,263,97,13
263,1,98,13
1,329,99,36
329,1,100,36
1,371,101,5
371,1,102,5
1,374,103,41
374,1,104,41
1,378,105,34
378,1,106,34
1,385,107,40
385,1,108,40
1,406,109,37
406,1,110,37
1,464,111,50
464,1,112,50
1,478,113,3
478,1,114,3
1,493,115,5
493,1,116,5
1,501,117,27
501,1,118,27
1,515,119,42
515,1,120,42
1,517,121,40
517,1,122,40
1,541,123,4
541,1,124,4
1,558,125,44
558,1,126,44
1,608,127,2
608,1,128,2
1,626,129,41
626,1,130,41
1,657,131,13
657,1,132,13
1,745,133,13
745,1,134,13
1,749,135,7
749,1,136,7
1,836,137,19
836,1,138,19
1,844,139,13
844,1,140,13
1,895,141,29
895,1,142,29
1,923,143,48
923,1,144,48
1,937,145,37
937,1,146,37
1,954,147,21
954,1,148,21
1,958,149,1
958,1,150,1
1,963,151,40
963,1,152,40
1,980,153,22
980,1,154,22
1,1038,155,28
1038,1,156,28
1,1048,157,37
1048,1,158,37
1,1107,159,15
1107,1,160,15
1,1226,161,36
1226,1,162,36
1,1294,163,3
1294,1,164,3
1,1332,165,50
1332,1,166,50
1,1334,167,36
1334,1,168,36
1,1335,169,47
1335,1,170,47
1,1346,171,42
1346,1,172,42
1,1362,173,20
1362,1,174,20
1,1400,175,14
1400,1,176,14
1,1406,177,40
1406,1,178,40
1,1590,179,12
1590,1,180,12
1,1620,181,34
1620,1,182,34
1,1622,183,34
1622,1,184,34
1,1640,185,34
1640,1,186,34
1,1670,187,12
1670,1,188,12
1,1679,189,50
1679,1,190,50
1,1681,191,43
1681,1,192,43
1,1688,193,4
1688,1,194,4
1,1706,195,48
1706,1,196,48
1,1749,197,32
1749,1,198,32
1,1755,199,46
1755,1,200,46
1,1788,201,48
1788,1,202,48
1,1805,203,38
1805,1,204,38
1,1983,205,30
1983,1,206,30
1,2065,207,2
2065,1,208,2
1,2097,209,34
2097,1,210,34
1,2240,211,32
2240,1,212,32
1,2418,213,35
2418,1,214,35
1,2462,215,49
2462,1,216,49
1,2541,217,42
2541,1,218,42
1,2732,219,47
2732,1,220,47
1,2861,221,23
2861,1,222,23
1,2887,223,48
2887,1,224,48
1,2924,225,36
2924,1,226,36
1,2956,227,37
2956,1,228,37
1,2989,229,42
2989,1,230,42
1,3241,231,17
3241,1,232,17
1,3311,233,17
3311,1,234,17
1,3388,235,5
3388,1,236,5
1,3491,237,46
3491,1,238,46
1,3516,239,9
3516,1,240,9
1,3842,241,4
3842,1,242,4
1,3862,243,11
3862,1,244,11
1,3873,245,21
3873,1,246,21
1,3895,247,6
3895,1,248,6
1,3975,249,13
3975,1,250,13
1,4127,251,29
4127,1,252,29
1,4157,253,35
4157,1,254,35
1,4238,255,17
4238,1,256,17
1,4248,257,4
4248,1,258,4
1,4267,259,36
4267,1,260,36
1,4306,261,10
4306,1,262,10
1,4631,263,28
4631,1,264,28
1,4656,265,23
4656,1,266,23
1,4680,267,39
4680,1,268,39
1,4688,269,46
4688,1,270,46
1,4709,271,3
4709,1,272,3
1,4811,273,28
4811,1,274,28
1,4844,275,19
4844,1,276,19
1,4904,277,48
4904,1,278,48
1,5061,279,10
5061,1,280,10
1,5152,281,4
5152,1,282,4
1,5166,283,41
5166,1,284,41
1,5173,285,30
5173,1,286,30
1,5224,287,23
5224,1,288,23
1,5226,289,25
5226,1,290,25
1,5253,291,5
5253,1,292,5
1,5264,293,14
5264,1,294,14
1,5314,295,23
5314,1,296,23
1,5323,297,43
5323,1,298,43
1,5340,299,44
5340,1,300,44
1,5363,301,42
5363,1,302,42
1,5383,303,39
5383,1,304,39
1,5385,305,17
5385,1,306,17
1,5386,307,46
5386,1,308,46
1,5500,309,14
5500,1,310,14
1,5506,311,13
5506,1,312,13
1,5584,313,9
5584,1,314,9
1,5856,315,31
5856,1,316,31
1,5887,317,26
5887,1,318,26
1,5939,319,40
5939,1,320,40
1,5948,321,28
5948,1,322,28
1,5963,323,36
5963,1,324,36
1,6097,325,17
6097,1,326,17
1,6361,327,11
6361,1,328,11
1,6422,329,15
6422,1,330,15
1,6426,331,46
6426,1,332,46
1,6859,333,22
6859,1,334,22
1,6860,335,26
6860,1,336,26
1,7161,337,40
7161,1,338,40
1,7199,339,13
7199,1,340,13
1,7264,341,49
7264,1,342,49
1,7407,343,40
7407,1,344,40
1,7593,345,27
7593,1,346,27
1,7622,347,11
7622,1,348,11
1,7832,349,46
7832,1,350,46
1,7935,351,31
7935,1,352,31
2,6,353,40
6,2,354,40
2,7,355,45
7,2,356,45
2,8,357,41
8,2,358,41
2,10,359,21
10,2,360,21
2,11,361,3
11,2,362,3
2,12,363,2
12,2,364,2
2,17,365,35
17,2,366,35
2,18,367,39
18,2,368,39
2,20,369,13
20,2,370,13
2,22,371,42
22,2,372,42
2,24,373,28
24,2,374,28
2,31,375,20
31,2,376,20
2,32,377,49
32,2,378,49
2,43,379,35
43,2,380,35
2,50,381,21
50,2,382,21
2,54,383,50
54,2,384,50
2,58,385,26
58,2,386,26
2,67,387,23
67,2,388,23
2,81,389,15
81,2,390,15
2,83,391,20
83,2,392,20
2,86,393,29
86,2,394,29
2,88,395,38
88,2,396,38
2,97,397,25
97,2,398,25
2,102,399,41
102,2,400,41
2,154,401,25
154,2,402,25
2,166,403,10
166,2,404,10
2,170,405,40
170,2,406,40
2,187,407,18
187,2,408,18
2,198,409,49
198,2,410,49
2,206,411,48
206,2,412,48
2,225,413,16
225,2,414,16
2,237,415,25
237,2,416,25
2,264,417,46
264,2,418,46
2,265,419,6
265,2,420,6
2,299,421,30
299,2,422,30
2,317,423,45
317,2,424,45
2,341,425,1
341,2,426,1
2,359,427,22
359,2,428,22
2,365,429,6
365,2,430,6
2,369,431,18
369,2,432,18
2,374,433,32
374,2,434,32
2,416,435,34
416,2,436,34
2,420,437,39
420,2,438,39
2,422,439,25
422,2,440,25
2,444,441,9
444,2,442,9
2,451,443,3
451,2,444,3
2,456,445,33
456,2,446,33
2,498,447,38
498,2,448,38
2,508,449,25
508,2,450,25
2,510,451,13
510,2,452,13
2,519,453,41
519,2,454,41
2,522,455,29
522,2,456,29
2,525,457,8
525,2,458,8
2,554,459,43
554,2,460,43
2,590,461,16
590,2,462,16
2,606,463,20
606,2,464,20
2,611,465,4
611,2,466,4
2,612,467,32
612,2,468,32
2,620,469,46
620,2,470,46
2,656,471,14
656,2,472,14
2,658,473,23
658,2,474,23
2,661,475,35
661,2,476,35
2,663,477,22
663,2,478,22
2,673,479,18
673,2,480,18
2,687,481,38
687,2,482,38
2,692,483,7
692,2,484,7
2,732,485,44
732,2,486,44
2,733,487,44
733,2,488,44
2,739,489,10
739,2,490,10
2,773,491,33
773,2,492,33
2,778,493,50
778,2,494,50
2,780,495,38
780,2,496,38
2,798,497,43
798,2,498,43
2,813,499,42
813,2,500,42
2,829,501,3
829,2,502,3
2,877,503,42
877,2,504,42
2,882,505,36
882,2,506,36
2,973,507,32
973,2,508,32
2,986,509,19
986,2,510,19
2,987,511,2
987,2,512,2
2,997,513,10
997,2,514,10
2,1027,515,10
1027,2,516,10
2,1038,517,30
1038,2,518,30
2,1086,519,6
1086,2,520,6
2,1141,521,42
1141,2,522,42
2,1213,523,47
1213,2,524,47
2,1223,525,40
1223,2,526,40
2,1246,527,32
1246,2,528,32
2,1265,529,30
1265,2,530,30
2,1325,531,48
1325,2,532,48
2,1342,533,47
1342,2,534,47
2,1355,535,2
1355,2,536,2
2,1383,537,12
1383,2,538,12
2,1434,539,13
1434,2,540,13
2,1451,541,11
1451,2,542,11
2,1452,543,16
1452,2,544,16
2,1464,545,49
1464,2,546,49
2,1484,547,15
1484,2,548,15
2,1486,549,42
1486,2,550,42
2,1499,551,3
1499,2,552,3
2,1589,553,46
1589,2,554,46
2,1643,555,41
1643,2,556,41
2,1649,557,29
1649,2,558,29
2,1673,559,30
1673,2,560,30
2,1678,561,46
1678,2,562,46
2,1683,563,26
1683,2,564,26
2,1723,565,44
1723,2,566,44
2,1734,567,20
1734,2,568,20
2,1739,569,49
1739,2,570,49
2,1750,571,21
1750,2,572,21
2,1777,573,2
1777,2,574,2
2,1808,575,45
1808,2,576,45
2,1955,577,28
1955,2,578,28
2,1964,579,23
1964,2,580,23
2,1987,581,41
1987,2,582,41
2,2025,583,7
2025,2,584,7
2,2036,585,11
2036,2,586,11
2,2109,587,6
2109,2,588,6
2,2128,589,46
2128,2,590,46
2,2161,591,1
2161,2,592,1
2,2181,593,20
2181,2,594,20
2,2206,595,41
2206,2,596,41
2,2228,597,43
2228,2,598,43
2,2234,599,13
2234,2,600,13
2,2248,601,11
2248,2,602,11
2,2285,603,44
2285,2,604,44
2,2290,605,13
2290,2,606,13
2,2330,607,7
2330,2,608,7
2,2331,609,6
2331,2,610,6
2,2379,611,11
2379,2,612,11
2,2384,613,36
2384,2,614,36
2,2389,615,42
2389,2,616,42
2,2435,617,26
2435,2,618,26
2,2443,619,37
2443,2,620,37
2,2495,621,39
2495,2,622,39
2,2536,623,16
2536,2,624,16
2,2537,625,4
2537,2,626,4
2,2547,627,28
2547,2,628,28
2,2557,629,15
2557,2,630,15
2,2563,631,44
2563,2,632,44
2,2627,633,27
2627,2,634,27
2,2630,635,22
2630,2,636,22
2,2643,637,36
2643,2,638,36
2,2677,639,30
2677,2,640,30
2,2846,641,31
2846,2,642,31
2,2918,643,48
2918,2,644,48
2,2939,645,13
2939,2,646,13
2,3070,647,5
3070,2,648,5
2,3156,649,5
3156,2,650,5
2,3201,651,5
3201,2,652,5
2,3307,653,42
3307,2,654,42
2,3362,655,43
3362,2,656,43
2,3392,657,9
3392,2,658,9
2,3410,659,24
3410,2,660,24
2,3423,661,18
3423,2,662,18
2,3483,663,38
3483,2,664,38
2,3660,665,25
3660,2,666,25
2,3707,667,2
3707,2,668,2
2,3854,669,1
3854,2,670,1
2,3875,671,44
3875,2,672,44
2,3909,673,16
3909,2,674,16
2,4002,675,4
4002,2,676,4
2,4035,677,35
4035,2,678,35
2,4067,679,36
