inter_in,inter_out,streetcode,L
0,1,1,10
1,2,2,10
2,0,3,9
2,3,4,5
3,1,5,10
3,4,6,5
4,2,7,8
4,3,8,6
1,4,9,9
0,5,10,8
5,2,11,4
5,0,12,5
5,1,13,6
4,5,14,10
0,3,15,8
0,6,16,3
6,3,17,8
3,0,18,2
6,0,19,7
2,4,20,9
0,2,21,1
4,7,22,6
7,4,23,7
4,1,24,1
6,5,25,10
3,2,26,4
6,8,27,10
8,5,28,10
5,4,29,5
0,9,30,6
9,0,31,3
5,9,32,3
6,1,33,9
6,10,34,6
10,1,35,6
3,7,36,3
10,11,37,8
11,3,38,5
1,0,39,9
5,10,40,2
8,4,41,8
6,4,42,7
7,12,43,9
12,9,44,4
7,13,45,9
13,12,46,5
1,12,47,4
12,14,48,9
14,11,49,7
0,7,50,2
4,15,51,9
15,3,52,9
3,5,53,3
15,12,54,9
4,13,55,8
12,0,56,5
13,0,57,8
0,13,58,1
1,15,59,1
1,16,60,5
16,2,61,6
2,17,62,7
17,11,63,10
8,6,64,6
4,0,65,7
17,12,66,1
13,1,67,6
10,13,68,7
7,6,69,9
2,13,70,4
0,10,71,6
17,8,72,2
3,16,73,6
10,3,74,10
15,4,75,4
12,5,76,1
9,17,77,2
16,18,78,2
18,16,79,8
17,1,80,6
18,5,81,2
5,7,82,8
12,8,83,2
11,17,84,7
12,16,85,4
13,5,86,7
12,19,87,8
19,4,88,2
16,14,89,10
4,18,90,8
7,17,91,5
13,18,92,10
6,9,93,1
12,6,94,3
7,10,95,8
6,14,96,10
17,0,97,8
2,12,98,1
7,19,99,2
8,7,100,9
1,8,101,3
10,5,102,7
2,20,103,5
20,3,104,1
18,10,105,1
10,21,106,2
21,13,107,4
3,8,108,2
3,14,109,9
11,14,110,5
21,20,111,5
10,22,112,9
22,21,113,2
16,11,114,1
21,18,115,3
20,4,116,3
20,14,117,2
17,23,118,10
23,4,119,10
20,5,120,8
5,22,121,2
5,24,122,7
24,17,123,6
8,25,124,3
25,12,125,1
10,12,126,8
24,2,127,6
21,3,128,10
23,3,129,3
18,13,130,7
12,25,131,4
5,18,132,3
8,11,133,5
25,26,134,7
26,14,135,6
18,9,136,8
21,22,137,5
21,15,138,1
23,20,139,1
24,27,140,3
27,21,141,9
6,25,142,9
26,16,143,8
9,28,144,3
28,21,145,8
19,1,146,1
7,16,147,2
11,22,148,3
26,29,149,1
29,19,150,2
10,25,151,4
27,6,152,7
7,15,153,6
1,30,154,4
30,13,155,3
15,22,156,2
13,6,157,8
14,24,158,7
14,28,159,1
11,27,160,6
11,19,161,7
0,25,162,4
11,4,163,8
5,6,164,1
12,31,165,2
31,16,166,3
10,32,167,1
32,28,168,1
20,26,169,1
3,15,170,7
31,33,171,4
33,1,172,4
30,34,173,10
34,12,174,2
7,3,175,5
22,20,176,2
27,35,177,9
35,5,178,2
5,36,179,2
36,1,180,8
32,37,181,8
37,21,182,6
22,2,183,7
25,5,184,5
26,38,185,6
38,7,186,6
25,11,187,7
35,22,188,3
26,28,189,4
30,22,190,5
32,38,191,6
2,9,192,3
1,29,193,2
6,20,194,4
3,28,195,8
21,23,196,1
25,39,197,5
39,6,198,2
13,15,199,6
9,37,200,1
18,40,201,9
40,13,202,9
38,20,203,9
29,11,204,10
7,41,205,2
41,38,206,4
16,5,207,2
14,39,208,2
22,25,209,10
7,18,210,10
24,13,211,2
23,27,212,2
3,21,213,4
5,16,214,4
13,39,215,8
34,26,216,6
39,26,217,8
26,30,218,10
18,1,219,8
1,9,220,5
3,40,221,8
13,42,222,1
42,17,223,6
12,18,224,3
19,43,225,4
43,26,226,3
18,24,227,6
27,19,228,5
34,14,229,6
22,19,230,4
33,0,231,1
33,44,232,6
44,9,233,1
29,45,234,6
45,22,235,9
11,46,236,7
46,15,237,6
38,34,238,2
16,15,239,8
16,21,240,1
2,47,241,10
47,40,242,4
47,26,243,9
21,35,244,3
10,2,245,1
3,29,246,8
38,32,247,7
40,10,248,5
43,48,249,2
48,8,250,7
28,29,251,5
28,18,252,9
20,49,253,7
49,8,254,8
29,37,255,10
20,36,256,10
31,8,257,5
48,17,258,2
4,23,259,1
48,41,260,8
22,50,261,7
50,11,262,6
13,51,263,6
51,2,264,10
18,2,265,3
26,5,266,8
12,47,267,2
7,47,268,9
0,18,269,2
30,29,270,5
35,3,271,3
10,9,272,3
11,44,273,8
41,0,274,3
11,48,275,3
41,8,276,1
9,52,277,2
52,34,278,7
1,17,279,2
9,53,280,6
53,18,281,10
12,54,282,1
54,0,283,8
22,34,284,8
54,55,285,3
55,20,286,9
50,28,287,10
34,19,288,8
29,56,289,10
56,53,290,5
54,47,291,3
54,53,292,8
53,12,293,3
3,57,294,3
57,26,295,2
10,55,296,2
36,43,297,6
49,17,298,2
37,28,299,6
38,58,300,9
58,13,301,10
20,37,302,6
49,46,303,6
53,21,304,1
19,17,305,3
32,59,306,4
59,14,307,5
17,28,308,3
34,50,309,3
33,28,310,10
26,60,311,10
60,27,312,5
54,61,313,9
61,24,314,6
3,35,315,8
27,46,316,7
23,0,317,5
23,25,318,8
41,43,319,2
